,drink,biscuit
0,Coffee,Plain
1,Tea,Chocolate
2,Coffee,Plain
3,Coffee,Plain
4,Tea,Chocolate
5,Coffee,Plain
6,Tea,Chocolate
7,Tea,Chocolate
8,Coffee,Chocolate
9,Coffee,Chocolate
10,Tea,Chocolate
11,Tea,Chocolate
12,Coffee,Chocolate
13,Tea,Chocolate
14,Coffee,Plain
15,Coffee,Plain
16,Coffee,Plain
17,Coffee,Plain
18,Coffee,Chocolate
19,Coffee,Plain
20,Tea,Chocolate
21,Coffee,Chocolate
22,Coffee,Plain
23,Coffee,Plain
24,Tea,Chocolate
25,Tea,Chocolate
26,Coffee,Plain
27,Tea,Chocolate
28,Tea,Chocolate
29,Coffee,Plain
30,Tea,Chocolate
31,Coffee,Chocolate
32,Tea,Chocolate
33,Coffee,Chocolate
34,Tea,Chocolate
35,Coffee,Chocolate
36,Tea,Chocolate
37,Tea,Chocolate
38,Coffee,Chocolate
39,Tea,Chocolate
40,Coffee,Plain
41,Coffee,Plain
42,Tea,Chocolate
43,Coffee,Plain
44,Coffee,Plain
45,Tea,Chocolate
46,Tea,Chocolate
47,Coffee,Chocolate
48,Tea,Chocolate
49,Coffee,Plain
50,Tea,Chocolate
51,Tea,Chocolate
52,Tea,Chocolate
53,Coffee,Plain
54,Coffee,Chocolate
55,Tea,Chocolate
56,Coffee,Chocolate
57,Tea,Chocolate
58,Tea,Chocolate
59,Coffee,Chocolate
60,Coffee,Plain
61,Coffee,Plain
62,Tea,Chocolate
63,Tea,Chocolate
64,Tea,Chocolate
65,Tea,Chocolate
66,Coffee,Chocolate
67,Coffee,Plain
68,Tea,Chocolate
69,Tea,Chocolate
70,Tea,Chocolate
71,Tea,Chocolate
72,Tea,Chocolate
73,Tea,Chocolate
74,Coffee,Chocolate
75,Coffee,Chocolate
76,Tea,Chocolate
77,Tea,Chocolate
78,Tea,Chocolate
79,Tea,Chocolate
80,Coffee,Plain
81,Tea,Chocolate
82,Coffee,Plain
83,Tea,Chocolate
84,Tea,Chocolate
85,Coffee,Plain
86,Tea,Chocolate
87,Tea,Chocolate
88,Tea,Chocolate
89,Coffee,Chocolate
90,Tea,Chocolate
91,Tea,Chocolate
92,Coffee,Plain
93,Coffee,Chocolate
94,Tea,Chocolate
95,Tea,Chocolate
96,Tea,Chocolate
97,Coffee,Plain
98,Coffee,Plain
99,Coffee,Chocolate
100,Coffee,Chocolate
101,Coffee,Plain
102,Tea,Chocolate
103,Coffee,Plain
104,Tea,Chocolate
105,Coffee,Plain
106,Coffee,Chocolate
107,Tea,Chocolate
108,Coffee,Plain
109,Tea,Chocolate
110,Tea,Chocolate
111,Coffee,Chocolate
112,Tea,Chocolate
113,Tea,Chocolate
114,Coffee,Plain
115,Tea,Chocolate
116,Coffee,Plain
117,Coffee,Plain
118,Coffee,Plain
119,Tea,Chocolate
120,Coffee,Chocolate
121,Coffee,Plain
122,Coffee,Plain
123,Tea,Chocolate
124,Tea,Chocolate
125,Coffee,Chocolate
126,Coffee,Chocolate
127,Coffee,Plain
128,Tea,Chocolate
129,Tea,Chocolate
130,Coffee,Chocolate
131,Tea,Chocolate
132,Coffee,Plain
133,Tea,Chocolate
134,Coffee,Plain
135,Coffee,Plain
136,Tea,Chocolate
137,Coffee,Plain
138,Tea,Chocolate
139,Tea,Chocolate
140,Tea,Chocolate
141,Tea,Chocolate
142,Coffee,Plain
143,Coffee,Plain
144,Coffee,Chocolate
145,Coffee,Chocolate
146,Tea,Chocolate
147,Coffee,Plain
148,Tea,Chocolate
149,Coffee,Chocolate
150,Tea,Chocolate
151,Tea,Chocolate
152,Coffee,Chocolate
153,Tea,Chocolate
154,Coffee,Plain
155,Coffee,Plain
156,Coffee,Chocolate
157,Coffee,Plain
158,Tea,Chocolate
159,Tea,Chocolate
160,Tea,Chocolate
161,Tea,Chocolate
162,Tea,Chocolate
163,Coffee,Chocolate
164,Tea,Chocolate
165,Tea,Chocolate
166,Coffee,Chocolate
167,Tea,Chocolate
168,Tea,Chocolate
169,Tea,Chocolate
170,Coffee,Plain
171,Coffee,Chocolate
172,Tea,Chocolate
173,Tea,Chocolate
174,Coffee,Plain
175,Tea,Chocolate
176,Tea,Chocolate
177,Coffee,Plain
178,Coffee,Chocolate
179,Coffee,Chocolate
180,Coffee,Plain
181,Tea,Chocolate
182,Tea,Chocolate
183,Coffee,Chocolate
184,Tea,Chocolate
185,Tea,Chocolate
186,Tea,Chocolate
187,Coffee,Chocolate
188,Coffee,Plain
189,Tea,Chocolate
190,Tea,Chocolate
191,Tea,Chocolate
192,Tea,Chocolate
193,Coffee,Chocolate
194,Tea,Chocolate
195,Coffee,Chocolate
196,Coffee,Chocolate
197,Tea,Chocolate
198,Tea,Chocolate
199,Tea,Chocolate
200,Tea,Chocolate
201,Coffee,Chocolate
202,Tea,Chocolate
203,Tea,Chocolate
204,Coffee,Plain
205,Tea,Chocolate
206,Tea,Chocolate
207,Tea,Chocolate
208,Coffee,Plain
209,Coffee,Chocolate
210,Coffee,Plain
211,Tea,Chocolate
