,drink,biscuit
0,Coffee,Plain
1,Tea,Chocolate
2,Coffee,Plain
3,Coffee,Plain
4,Coffee,Chocolate
5,Coffee,Plain
6,Tea,Chocolate
7,Coffee,Chocolate
8,Tea,Chocolate
9,Coffee,Plain
10,Coffee,Plain
11,Tea,Chocolate
12,Tea,Chocolate
13,Tea,Chocolate
14,Tea,Chocolate
15,Tea,Chocolate
16,Coffee,Chocolate
17,Tea,Chocolate
18,Coffee,Plain
19,Tea,Chocolate
20,Coffee,Plain
21,Tea,Chocolate
22,Tea,Chocolate
23,Tea,Chocolate
24,Coffee,Plain
25,Tea,Chocolate
26,Tea,Chocolate
27,Tea,Chocolate
28,Tea,Chocolate
29,Tea,Chocolate
30,Coffee,Chocolate
31,Tea,Chocolate
32,Coffee,Chocolate
33,Coffee,Plain
34,Coffee,Plain
35,Coffee,Chocolate
36,Coffee,Plain
37,Coffee,Plain
38,Tea,Chocolate
39,Tea,Chocolate
40,Coffee,Chocolate
41,Tea,Chocolate
42,Coffee,Plain
43,Tea,Chocolate
44,Coffee,Plain
45,Tea,Chocolate
46,Tea,Chocolate
47,Tea,Chocolate
48,Tea,Chocolate
49,Coffee,Plain
50,Tea,Chocolate
51,Tea,Chocolate
52,Coffee,Chocolate
53,Tea,Chocolate
54,Coffee,Chocolate
55,Coffee,Chocolate
56,Coffee,Plain
57,Coffee,Plain
58,Coffee,Plain
59,Coffee,Chocolate
60,Tea,Chocolate
61,Tea,Chocolate
62,Coffee,Chocolate
63,Tea,Chocolate
64,Tea,Chocolate
65,Tea,Chocolate
66,Coffee,Chocolate
67,Tea,Chocolate
68,Tea,Chocolate
69,Coffee,Plain
70,Tea,Chocolate
71,Coffee,Chocolate
72,Coffee,Plain
73,Tea,Chocolate
74,Coffee,Plain
75,Tea,Chocolate
76,Tea,Chocolate
77,Coffee,Chocolate
78,Coffee,Plain
79,Coffee,Plain
80,Coffee,Plain
81,Tea,Chocolate
82,Tea,Chocolate
83,Tea,Chocolate
84,Tea,Chocolate
85,Coffee,Plain
86,Tea,Chocolate
87,Coffee,Chocolate
88,Coffee,Chocolate
89,Coffee,Chocolate
90,Tea,Chocolate
91,Tea,Chocolate
92,Tea,Chocolate
93,Coffee,Plain
94,Coffee,Chocolate
95,Tea,Chocolate
96,Tea,Chocolate
97,Tea,Chocolate
98,Tea,Chocolate
99,Tea,Chocolate
100,Coffee,Chocolate
101,Tea,Chocolate
102,Tea,Chocolate
103,Tea,Chocolate
104,Coffee,Plain
105,Coffee,Chocolate
106,Tea,Chocolate
107,Coffee,Chocolate
108,Tea,Chocolate
109,Tea,Chocolate
110,Tea,Chocolate
111,Tea,Chocolate
112,Tea,Chocolate
113,Coffee,Plain
114,Coffee,Chocolate
115,Tea,Chocolate
116,Tea,Chocolate
117,Coffee,Plain
118,Tea,Chocolate
119,Tea,Chocolate
120,Coffee,Plain
121,Coffee,Plain
122,Tea,Chocolate
123,Coffee,Chocolate
124,Coffee,Chocolate
125,Tea,Chocolate
126,Tea,Chocolate
127,Tea,Chocolate
128,Coffee,Chocolate
129,Tea,Chocolate
130,Tea,Chocolate
131,Coffee,Plain
132,Coffee,Plain
133,Tea,Chocolate
134,Coffee,Plain
135,Coffee,Chocolate
136,Tea,Chocolate
137,Tea,Chocolate
138,Tea,Chocolate
139,Coffee,Plain
140,Coffee,Plain
141,Tea,Chocolate
142,Tea,Chocolate
143,Tea,Chocolate
144,Tea,Chocolate
145,Coffee,Plain
146,Coffee,Plain
147,Coffee,Plain
148,Tea,Chocolate
149,Coffee,Chocolate
150,Coffee,Chocolate
151,Tea,Chocolate
152,Tea,Chocolate
153,Tea,Chocolate
154,Tea,Chocolate
155,Tea,Chocolate
156,Tea,Chocolate
157,Coffee,Chocolate
158,Tea,Chocolate
159,Coffee,Chocolate
160,Coffee,Chocolate
161,Tea,Chocolate
162,Tea,Chocolate
163,Coffee,Plain
164,Coffee,Plain
165,Coffee,Plain
166,Tea,Chocolate
167,Coffee,Chocolate
168,Tea,Chocolate
169,Coffee,Chocolate
170,Coffee,Plain
171,Tea,Chocolate
172,Tea,Chocolate
173,Tea,Chocolate
174,Coffee,Plain
175,Coffee,Chocolate
176,Tea,Chocolate
177,Coffee,Chocolate
178,Coffee,Plain
179,Tea,Chocolate
180,Coffee,Chocolate
181,Tea,Chocolate
182,Tea,Chocolate
183,Coffee,Plain
184,Tea,Chocolate
185,Coffee,Plain
186,Coffee,Plain
187,Coffee,Plain
188,Coffee,Chocolate
189,Tea,Chocolate
190,Coffee,Plain
191,Tea,Chocolate
192,Tea,Chocolate
193,Coffee,Plain
194,Tea,Chocolate
195,Tea,Chocolate
196,Coffee,Chocolate
197,Coffee,Chocolate
198,Tea,Chocolate
199,Tea,Chocolate
200,Coffee,Plain
201,Coffee,Chocolate
202,Tea,Chocolate
203,Tea,Chocolate
204,Coffee,Plain
205,Coffee,Plain
206,Tea,Chocolate
207,Tea,Chocolate
208,Coffee,Chocolate
209,Coffee,Plain
210,Coffee,Chocolate
211,Coffee,Plain
