,drink,biscuit
0,Tea,Chocolate
1,Tea,Chocolate
2,Coffee,Plain
3,Tea,Chocolate
4,Coffee,Chocolate
5,Tea,Chocolate
6,Coffee,Plain
7,Tea,Chocolate
8,Tea,Chocolate
9,Coffee,Chocolate
10,Tea,Chocolate
11,Tea,Chocolate
12,Tea,Chocolate
13,Tea,Chocolate
14,Tea,Chocolate
15,Tea,Chocolate
16,Tea,Chocolate
17,Tea,Chocolate
18,Coffee,Plain
19,Coffee,Plain
20,Coffee,Plain
21,Coffee,Plain
22,Coffee,Plain
23,Tea,Chocolate
24,Tea,Chocolate
25,Coffee,Chocolate
26,Coffee,Plain
27,Tea,Chocolate
28,Coffee,Plain
29,Coffee,Plain
30,Coffee,Plain
31,Tea,Chocolate
32,Coffee,Chocolate
33,Coffee,Chocolate
34,Coffee,Chocolate
35,Tea,Chocolate
36,Tea,Chocolate
37,Tea,Chocolate
38,Tea,Chocolate
39,Coffee,Plain
40,Tea,Chocolate
41,Coffee,Chocolate
42,Tea,Chocolate
43,Coffee,Plain
44,Tea,Chocolate
45,Coffee,Plain
46,Coffee,Plain
47,Coffee,Chocolate
48,Tea,Chocolate
49,Tea,Chocolate
50,Coffee,Chocolate
51,Tea,Chocolate
52,Coffee,Plain
53,Tea,Chocolate
54,Coffee,Plain
55,Tea,Chocolate
56,Tea,Chocolate
57,Tea,Chocolate
58,Tea,Chocolate
59,Coffee,Chocolate
60,Coffee,Plain
61,Tea,Chocolate
62,Coffee,Chocolate
63,Coffee,Chocolate
64,Tea,Chocolate
65,Coffee,Plain
66,Coffee,Plain
67,Coffee,Plain
68,Tea,Chocolate
69,Tea,Chocolate
70,Coffee,Chocolate
71,Coffee,Plain
72,Tea,Chocolate
73,Tea,Chocolate
74,Coffee,Plain
75,Tea,Chocolate
76,Tea,Chocolate
77,Coffee,Chocolate
78,Coffee,Plain
79,Tea,Chocolate
80,Tea,Chocolate
81,Coffee,Plain
82,Coffee,Plain
83,Tea,Chocolate
84,Coffee,Chocolate
85,Tea,Chocolate
86,Coffee,Plain
87,Coffee,Chocolate
88,Tea,Chocolate
89,Tea,Chocolate
90,Coffee,Chocolate
91,Tea,Chocolate
92,Tea,Chocolate
93,Tea,Chocolate
94,Coffee,Chocolate
95,Coffee,Chocolate
96,Coffee,Chocolate
97,Tea,Chocolate
98,Tea,Chocolate
99,Coffee,Plain
100,Tea,Chocolate
101,Coffee,Plain
102,Tea,Chocolate
103,Tea,Chocolate
104,Coffee,Chocolate
105,Tea,Chocolate
106,Tea,Chocolate
107,Tea,Chocolate
108,Tea,Chocolate
109,Tea,Chocolate
110,Tea,Chocolate
111,Tea,Chocolate
112,Coffee,Plain
113,Coffee,Chocolate
114,Coffee,Chocolate
115,Coffee,Plain
116,Tea,Chocolate
117,Tea,Chocolate
118,Tea,Chocolate
119,Tea,Chocolate
120,Coffee,Chocolate
121,Tea,Chocolate
122,Tea,Chocolate
123,Coffee,Chocolate
124,Tea,Chocolate
125,Coffee,Plain
126,Coffee,Plain
127,Tea,Chocolate
128,Tea,Chocolate
129,Coffee,Plain
130,Tea,Chocolate
131,Tea,Chocolate
132,Coffee,Plain
133,Tea,Chocolate
134,Coffee,Plain
135,Tea,Chocolate
136,Tea,Chocolate
137,Coffee,Plain
138,Tea,Chocolate
139,Coffee,Chocolate
140,Coffee,Chocolate
141,Coffee,Plain
142,Coffee,Plain
143,Coffee,Chocolate
144,Tea,Chocolate
145,Coffee,Chocolate
146,Tea,Chocolate
147,Tea,Chocolate
148,Tea,Chocolate
149,Coffee,Plain
150,Coffee,Chocolate
151,Coffee,Chocolate
152,Coffee,Chocolate
153,Coffee,Plain
154,Tea,Chocolate
155,Tea,Chocolate
156,Coffee,Chocolate
157,Coffee,Chocolate
158,Coffee,Plain
159,Coffee,Chocolate
160,Tea,Chocolate
161,Tea,Chocolate
162,Tea,Chocolate
163,Tea,Chocolate
164,Tea,Chocolate
165,Tea,Chocolate
166,Coffee,Plain
167,Coffee,Plain
168,Tea,Chocolate
169,Tea,Chocolate
170,Coffee,Plain
171,Tea,Chocolate
172,Tea,Chocolate
173,Tea,Chocolate
174,Tea,Chocolate
175,Tea,Chocolate
176,Tea,Chocolate
177,Tea,Chocolate
178,Coffee,Chocolate
179,Coffee,Plain
180,Tea,Chocolate
181,Coffee,Chocolate
182,Coffee,Plain
183,Coffee,Plain
184,Coffee,Plain
185,Tea,Chocolate
186,Coffee,Plain
187,Tea,Chocolate
188,Coffee,Plain
189,Coffee,Plain
190,Coffee,Plain
191,Tea,Chocolate
192,Coffee,Chocolate
193,Coffee,Chocolate
194,Tea,Chocolate
195,Coffee,Plain
196,Tea,Chocolate
197,Coffee,Chocolate
198,Tea,Chocolate
199,Coffee,Plain
200,Coffee,Chocolate
201,Tea,Chocolate
202,Coffee,Chocolate
203,Tea,Chocolate
204,Coffee,Plain
205,Tea,Chocolate
206,Tea,Chocolate
207,Coffee,Plain
208,Coffee,Chocolate
209,Tea,Chocolate
210,Tea,Chocolate
211,Tea,Chocolate
